prot,prot_id,degree_centrality,closeness_centrality,subgraph_centrality,hdeg,hclose,hsubg
1,9606.ENSP00000369373,0.006852926,0.35329174,4.750000000000002e+108,0.006592827004219409,0.3531877241186606,4.751403787186945e+108
2,9606.ENSP00000362994,0.004253568,0.34571415,3.1900000000000005e+108,0.004116920543433511,0.3456831119544592,3.1861447980612214e+108
3,9606.ENSP00000345702,0.0037688440000000004,0.350746634,1.2000000000000004e+107,0.0036317921497415846,0.35070788223191096,1.1989248382968515e+107
4,9606.ENSP00000345206,0.009656652,0.363904555,5.080000000000001e+109,0.00942495824385588,0.3638494595650476,5.083006449254676e+109
5,9606.ENSP00000340330,0.023542001,0.38180258200000006,6.360000000000001e+110,0.023447537473233405,0.3817698753321071,6.363517877651346e+110
6,9606.ENSP00000310127,0.0014214639999999999,0.338791235,2.3900000000000008e+104,0.0014214639999999999,0.338791235,2.3900000000000008e+104
7,9606.ENSP00000262238,0.014963141999999999,0.37344892799999996,3.1800000000000007e+110,0.014861294583883753,0.3733969089115423,3.1836312000210584e+110
8,9606.ENSP00000262105,0.010873461999999999,0.372900236,1.6800000000000005e+110,0.010757829309108295,0.37286624771582655,1.68453872487017e+110
9,9606.ENSP00000252996,0.012851986000000001,0.360902648,2.3100000000000005e+109,0.012718600953895072,0.3608532387608219,2.3122095428045313e+109
10,9606.ENSP00000239938,0.010561423,0.360853693,8.240000000000001e+108,0.010344827586206895,0.3607978488582093,8.241419024480516e+108
