prot_id,degree_centrality,closeness_centrality,subgraph_centrality
9606.ENSP00000220592,0.0148963731,0.3712728439,4.92940174698211E+109
9606.ENSP00000221566,0.0588235294,0.3695652174,1.8232012013
9606.ENSP00000221930,0.0174243942,0.3963642137,2.508990393301E+110
9606.ENSP00000225698,0.0022969647,0.3514386208,8.64309531131255E+095
9606.ENSP00000239223,0.002843265,0.353312963,2.10854016988424E+107
9606.ENSP00000251968,0.0046994536,0.3657366696,1.17982691407265E+110
9606.ENSP00000256078,0.0254783194,0.3971514758,2.60643728497413E+110
9606.ENSP00000261233,0.002003643,0.3404862317,3.61256729582989E+105
9606.ENSP00000261503,0.0243902439,0.3397790055,3260132345.28978
9606.ENSP00000261693,0.0019029496,0.3368589744,3.98650666577227E+037
9606.ENSP00000262158,0.0067215958,0.372010486,2.88809557038514E+110
9606.ENSP00000262160,0.0133585779,0.3820987902,3.98963382862651E+110
9606.ENSP00000262187,0.0049796881,0.3478280687,7.75653551757157E+106
9606.ENSP00000262626,0.0004404316,0.3376710291,1.25541477233047E+104
9606.ENSP00000263645,0.0016051364,0.3489544436,3.9829079609644E+102
9606.ENSP00000264657,0.0235372594,0.3955820265,8.19031970616664E+109
9606.ENSP00000265132,0.0026014568,0.3466602537,1.25941689734019E+103
9606.ENSP00000267484,0.0064935065,0.3377192982,2.36709794193171E+035
9606.ENSP00000269305,0.0441190275,0.4118693215,2.32955721023907E+111
9606.ENSP00000279488,0.0014180374,0.3445378151,2.64187492070143E+105
9606.ENSP00000288840,0.0040983607,0.350331716,1.36577693353908E+109
9606.ENSP00000290378,0.0031234983,0.3418761295,2.64791549263794E+105
9606.ENSP00000293288,0.0031269543,0.3557285873,6.50408487323319E+107
9606.ENSP00000301244,0.0004404316,0.3376710291,1.25541477233047E+104
9606.ENSP00000302564,0.0056679262,0.3582291584,6.26317106940482E+107
9606.ENSP00000305651,0.0279745042,0.369714161,2.08121974311075E+109
9606.ENSP00000313829,0.0027220143,0.3572817894,8.35841301412867E+107
9606.ENSP00000317817,0.0008544574,0.3373690785,1.32837616906186E+093
9606.ENSP00000326031,0.0098741319,0.363937922,7.87693988496946E+108
9606.ENSP00000329967,0.0059151786,0.3651776981,8.14767257958929E+109
9606.ENSP00000332973,0.0164399648,0.3879061646,5.33719005587332E+110
9606.ENSP00000335153,0.0290352505,0.4075152157,5.10968717348014E+110
9606.ENSP00000337838,0.0018281536,0.3430249131,1.68242304726737E+105
9606.ENSP00000339191,0.0061002662,0.3674151351,2.37406829765659E+109
9606.ENSP00000340691,0.0037059175,0.3522253569,6.91612627843252E+107
9606.ENSP00000341268,0.0093132855,0.3663569843,1.19921758682092E+110
9606.ENSP00000341551,0.0162043941,0.385831,4.22451242076601E+110
9606.ENSP00000345656,0.0082124281,0.3584007849,2.1505587443941E+107
9606.ENSP00000346694,0.02390685,0.3632069105,4.96768417101591E+109
9606.ENSP00000349428,0.0248159582,0.364762441,5.33228092098367E+109
9606.ENSP00000352738,0.0010025063,0.3355196771,6.38349038059869E+103
9606.ENSP00000355231,0.0065524194,0.3556033517,1.03971733757408E+109
9606.ENSP00000355645,0.0100502513,0.3688676525,1.24493130217521E+108
9606.ENSP00000355759,0.0098573582,0.3721783417,3.51168581682506E+110
9606.ENSP00000356224,0.0085428756,0.3529010239,8.75996838666512E+108
9606.ENSP00000359424,0.0129827978,0.3724312999,8.24830649851962E+110
9606.ENSP00000360266,0.0252960682,0.392744186,1.38124777613725E+110
9606.ENSP00000362153,0.0109191979,0.3511572783,2.34692349541604E+106
9606.ENSP00000362287,0.0131701753,0.3790189451,1.75887594654941E+110
9606.ENSP00000362300,0.0148033126,0.3805696726,2.24856465147523E+110
9606.ENSP00000362306,0.0131701753,0.3790189451,1.75887594654941E+110
9606.ENSP00000363089,0.0080552359,0.3780352764,2.82563432569008E+110
9606.ENSP00000364016,0.0240008034,0.3822061871,6.43773053319809E+111
9606.ENSP00000369154,0.0050346986,0.3503193822,4.21114592470226E+109
9606.ENSP00000369581,0.0065081055,0.3657016747,2.09855450989008E+109
9606.ENSP00000376943,0.0089719232,0.3740819711,1.00096224471692E+109
9606.ENSP00000380921,0.0158349828,0.3871032786,2.20653765847196E+110
9606.ENSP00000384273,0.0246679317,0.4001366691,3.93246057230193E+111
9606.ENSP00000384863,0.0167719226,0.3801708191,1.93299822911218E+110
9606.ENSP00000396688,0.0152495379,0.365108824,9.33297361828464E+107
9606.ENSP00000416706,0.0005250722,0.3396949969,2.16661476608444E+105
9606.ENSP00000425561,0.0234827364,0.3772653722,1.68882806080318E+110
9606.ENSP00000430684,0.0127553778,0.3718546507,6.58087369384473E+110
9606.ENSP00000441954,0.0055292259,0.352057842,4.18042656195791E+109
