#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GTF2B	TBP	1855275	1843249	9606.ENSP00000359531	9606.ENSP00000230354	0	0	0	0	0.180	0.993	0.900	0.968	0.999
TBK1	IRF3	1851202	1849262	9606.ENSP00000329967	9606.ENSP00000310127	0	0	0	0	0	0.394	0.900	0.919	0.994
JUN	TP53	1855436	1846083	9606.ENSP00000360266	9606.ENSP00000269305	0	0	0	0	0	0.130	0.900	0.919	0.992
TP53	TBP	1846083	1843249	9606.ENSP00000269305	9606.ENSP00000230354	0	0	0	0	0.047	0.360	0.900	0.799	0.986
STAT2	IRF3	1849817	1849262	9606.ENSP00000315768	9606.ENSP00000310127	0	0	0	0	0.050	0	0.900	0.827	0.982
UL48	HCFC1	10001485	1849194	10298.VP16_HHV11	9606.ENSP00000309555	0	0	0	0	0	0.447	0	0.966	0.980
JUN	GTF2B	1855436	1855275	9606.ENSP00000360266	9606.ENSP00000359531	0	0	0	0	0	0.380	0.900	0.661	0.977
UL4	TP53	10001447	1846083	10298.NP04_HHV11	9606.ENSP00000269305	0	0	0	0	0	0	0	0.974	0.974
RL1	BECN1	10001439	1854331	10298.ICP34_HHV11	9606.ENSP00000355231	0	0	0	0	0	0	0	0.972	0.972
JUN	IRF3	1855436	1849262	9606.ENSP00000360266	9606.ENSP00000310127	0	0	0	0	0	0	0.900	0.716	0.970
RL1	TBK1	10001439	1851202	10298.ICP34_HHV11	9606.ENSP00000329967	0	0	0	0	0	0.435	0	0.950	0.970
UL4	IRF3	10001447	1849262	10298.NP04_HHV11	9606.ENSP00000310127	0	0	0	0	0	0	0	0.969	0.970
UL4	JUN	10001447	1855436	10298.NP04_HHV11	9606.ENSP00000360266	0	0	0	0	0	0	0	0.968	0.968
UL48	GTF2B	10001485	1855275	10298.VP16_HHV11	9606.ENSP00000359531	0	0	0	0	0	0	0	0.966	0.967
gM	gB	10001432	10001422	10298.GM_HHV11	10298.GB_HHV11	0	0	0	0	0	0.134	0	0.965	0.966
ICP27	PABPC1	10001438	1849591	10298.ICP27_HHV11	9606.ENSP00000313007	0	0	0	0	0	0.435	0	0.940	0.965
ICP4	TBP	10001441	1843249	10298.ICP4_HHV11	9606.ENSP00000230354	0	0	0	0	0	0	0	0.964	0.965
ICP4	GTF2B	10001441	1855275	10298.ICP4_HHV11	9606.ENSP00000359531	0	0	0	0	0	0	0	0.962	0.962
UL4	STAT2	10001447	1849817	10298.NP04_HHV11	9606.ENSP00000315768	0	0	0	0	0	0	0	0.961	0.961
US11	TP53	10001454	1846083	10298.RNB_HHV11	9606.ENSP00000269305	0	0	0	0	0	0	0	0.958	0.958
gH	gB	10001427	10001422	10298.GH_HHV11	10298.GB_HHV11	0	0	0	0	0	0.125	0	0.954	0.955
gD	gB	10001424	10001422	10298.GD_HHV11	10298.GB_HHV11	0	0	0	0	0	0	0	0.953	0.954
gM	gD	10001432	10001424	10298.GM_HHV11	10298.GD_HHV11	0	0	0	0	0	0	0	0.953	0.953
ICP4	ICP27	10001441	10001438	10298.ICP4_HHV11	10298.ICP27_HHV11	0	0	0	0	0	0.489	0	0.909	0.952
UL4	PABPC1	10001447	1849591	10298.NP04_HHV11	9606.ENSP00000313007	0	0	0	0	0	0	0	0.946	0.946
OBP	HEPA	10001448	10001435	10298.OBP_HHV11	10298.HEPA_HHV11	0	0	0	0	0	0.486	0	0.893	0.943
HEPA	UL5	10001435	10001434	10298.HEPA_HHV11	10298.HELI_HHV11	0	0	0	0	0	0.486	0	0.893	0.943
UL52	HEPA	10001451	10001435	10298.PRIM_HHV11	10298.HEPA_HHV11	0	0	0	0	0	0.489	0	0.892	0.943
gH	gD	10001427	10001424	10298.GH_HHV11	10298.GD_HHV11	0	0	0	0	0	0	0	0.940	0.940
UL15	UL28	10001466	10001464	10298.TRM3_HHV11	10298.TRM1_HHV11	0	0	0	0	0	0.524	0	0.875	0.939
gL	gH	10001431	10001427	10298.GL_HHV11	10298.GH_HHV11	0	0	0	0	0	0	0	0.938	0.938
PAP	UL30	10001449	10001419	10298.PAP_HHV11	10298.DPOL_HHV11	0	0	0	0	0	0.435	0	0.888	0.934
UL48	Vhs	10001485	10001456	10298.VP16_HHV11	10298.SHUT_HHV11	0	0	0	0	0	0.473	0	0.878	0.934
HEPA	ICP-8	10001435	10001418	10298.HEPA_HHV11	10298.DNBI_HHV11	0	0	0	0	0	0.435	0	0.883	0.932
