protein1,protein2,combined_score
9606.ENSP00000359531,9606.ENSP00000230354,0.9990000000000001
9606.ENSP00000329967,9606.ENSP00000310127,0.9940000000000001
9606.ENSP00000360266,9606.ENSP00000269305,0.992
9606.ENSP00000269305,9606.ENSP00000230354,0.986
9606.ENSP00000315768,9606.ENSP00000310127,0.982
10298.VP16_HHV11,9606.ENSP00000309555,0.98
9606.ENSP00000360266,9606.ENSP00000359531,0.977
10298.NP04_HHV11,9606.ENSP00000269305,0.9740000000000001
10298.ICP34_HHV11,9606.ENSP00000355231,0.972
9606.ENSP00000360266,9606.ENSP00000310127,0.97
10298.ICP34_HHV11,9606.ENSP00000329967,0.97
10298.NP04_HHV11,9606.ENSP00000310127,0.97
10298.NP04_HHV11,9606.ENSP00000360266,0.968
10298.VP16_HHV11,9606.ENSP00000359531,0.9670000000000001
10298.GM_HHV11,10298.GB_HHV11,0.966
10298.ICP27_HHV11,9606.ENSP00000313007,0.965
10298.ICP4_HHV11,9606.ENSP00000230354,0.965
10298.ICP4_HHV11,9606.ENSP00000359531,0.9620000000000001
10298.NP04_HHV11,9606.ENSP00000315768,0.961
10298.RNB_HHV11,9606.ENSP00000269305,0.958
10298.GH_HHV11,10298.GB_HHV11,0.955
10298.GD_HHV11,10298.GB_HHV11,0.9540000000000001
10298.GM_HHV11,10298.GD_HHV11,0.953
10298.ICP4_HHV11,10298.ICP27_HHV11,0.9520000000000001
10298.NP04_HHV11,9606.ENSP00000313007,0.946
10298.OBP_HHV11,10298.HEPA_HHV11,0.943
10298.HEPA_HHV11,10298.HELI_HHV11,0.943
10298.PRIM_HHV11,10298.HEPA_HHV11,0.943
10298.GH_HHV11,10298.GD_HHV11,0.94
10298.TRM3_HHV11,10298.TRM1_HHV11,0.9390000000000001
10298.GL_HHV11,10298.GH_HHV11,0.938
10298.PAP_HHV11,10298.DPOL_HHV11,0.934
10298.VP16_HHV11,10298.SHUT_HHV11,0.934
10298.HEPA_HHV11,10298.DNBI_HHV11,0.932
10298.VP23_HHV11,10298.VP19_HHV11,0.932
10298.VP22_HHV11,10298.VP16_HHV11,0.932
10298.TRM2_HHV11,10298.TRM1_HHV11,0.9309999999999999
10298.ICP27_HHV11,10298.DNBI_HHV11,0.9309999999999999
10298.HELI_HHV11,10298.DNBI_HHV11,0.929
10298.UL25_HHV11,10298.UL17_HHV11,0.929
10298.NP04_HHV11,10298.ICP22_HHV11,0.9259999999999999
10298.VP22_HHV11,10298.GE_HHV11,0.9259999999999999
10298.TRM3_HHV11,10298.PORTL_HHV11,0.925
10298.RNB_HHV11,9606.ENSP00000355231,0.925
10298.TRM1_HHV11,10298.PORTL_HHV11,0.925
10298.VP16_HHV11,10298.TEG5_HHV11,0.924
10298.VP22_HHV11,10298.SHUT_HHV11,0.9229999999999999
10298.DNBI_HHV11,10298.AN_HHV11,0.915
10298.UL37_HHV11,10298.LTP_HHV11,0.915
9606.ENSP00000359531,9606.ENSP00000310127,0.915
10298.UL16_HHV11,10298.TEG4_HHV11,0.91
10298.GN_HHV11,10298.GM_HHV11,0.903
10298.UL16_HHV11,10298.TEG2_HHV11,0.902
10298.NP04_HHV11,10298.ICP4_HHV11,0.9009999999999999

