prot_id,degree_centrality,closeness_centrality,subgraph_centrality
10376.EBNA6_EBVB9,0.0004918839,0.3378760179,4.04575616146291E+104
10376.KR2_EBVB9,0.0007745933,0.3419263706,1.59012623780446E+106
10376.EBNA2_EBVB9,0.0009837678,0.3379883624,4.04587084312495E+104
10376.LMP1_EBVB9,0.0013297872,0.3381294964,7.75141738861912E+031
9606.ENSP00000310127,0.0014214641,0.3387912353,2.39346761379889E+104
9606.ENSP00000310127,0.0014214641,0.3387912353,2.39346761379889E+104
10376.RTA_EBVB9,0.0014644862,0.3429886982,8.76855993228941E+105
9606.ENSP00000345702,0.0037688442,0.350746634,1.20166319384997E+107
9606.ENSP00000362994,0.0042535675,0.3457141502,3.18623479088657E+108
9606.ENSP00000369373,0.0068529257,0.3532917404,4.75348205981752E+108
9606.ENSP00000369373,0.0068529257,0.3532917404,4.75348205981752E+108
9606.ENSP00000345206,0.0096566524,0.3639045553,5.08329551277169E+109
9606.ENSP00000239938,0.010561423,0.3608536928,8.24413353617873E+108
9606.ENSP00000262105,0.0108734616,0.3729002362,1.6846794594829E+110
10376.EBNA1_EBVB9,0.012195122,0.3374485597,75137782.8431535
9606.ENSP00000252996,0.0128519856,0.3609026475,2.31262494210526E+109
9606.ENSP00000262238,0.0149631423,0.3734489276,3.18377491066383E+110
9606.ENSP00000340330,0.0235420011,0.3818025821,6.36379399484289E+110
9606.ENSP00000340330,0.0235420011,0.3818025821,6.36379399484289E+110
10376.GL_EBVB9,1,1,1.5430806348
10376.UL34_EBVB9,1,1,1.5430806348
10376.GM_EBVB9,1,1,1.5430806348
10376.BMRF2_EBVB9,1,1,1.5430806348
10376.GH_EBVB9,1,1,1.5430806348
10376.UL31_EBVB9,1,1,1.5430806348
10376.GB_EBVB9,1,1,1.5430806348
10376.BDLF2_EBVB9,1,1,1.5430806348
