prot_id,degree_centrality,closeness_centrality,subgraph_centrality
9606.ENSP00000359531,0.018058984,0.365098188,3.17276060277919E+109
9606.ENSP00000329967,0.0061322332,0.3652170372,8.14880941551833E+109
9606.ENSP00000360266,0.0254566102,0.3927960746,1.3816239325555E+110
9606.ENSP00000269305,0.0443631589,0.4119306108,2.3298143688854E+111
9606.ENSP00000315768,0.0104483052,0.3597936792,2.61086453227126E+109
10298.VP16_HHV11,0.0016377334,0.3411554364,1.63996784959345E+104
10298.NP04_HHV11,0.0010351967,0.3486106099,8.73659454392568E+106
10298.ICP34_HHV11,0.0006585446,0.3374069548,1.14773590977283E+104
10298.GM_HHV11,0.6,0.625,3.8293868934
10298.ICP27_HHV11,0.0011627907,0.3414053196,1.05342068077154E+104
10298.ICP4_HHV11,0.0018779343,0.3413461538,1.8658359125171E+071
10298.RNB_HHV11,0.0003410641,0.3433858406,3.6955185156018E+106
10298.GH_HHV11,0.6,0.625,3.8293868934
10298.GD_HHV11,0.6,0.7142857143,4.4184704039
10298.OBP_HHV11,0.1666666667,0.4615384615,1.7189714203
10298.HEPA_HHV11,0.5,0.5714285714,4.5671853733
10298.PRIM_HHV11,0.1666666667,0.4615384615,1.7189714203
10298.TRM3_HHV11,0.6666666667,0.75,2.7829804022
10298.GL_HHV11,0.25,0.5,1.6697698655
10298.PAP_HHV11,1,1,1.5430806348
10298.VP23_HHV11,1,1,1.5430806348
10298.VP22_HHV11,0.0146341463,0.3382838284,1.4351485596608E+025
10298.TRM2_HHV11,0.3333333333,0.6,1.6611137559
10298.HELI_HHV11,0.25,0.5,3.023073227
10298.UL25_HHV11,1,1,1.5430806348
10298.TRM1_HHV11,1,1,3.492148788
10298.DNBI_HHV11,0.021978022,0.34082397,3.47723446932079E+044
10298.UL37_HHV11,1,1,1.5430806348
10298.UL16_HHV11,1,1,2.1781835566
10298.GN_HHV11,0.25,0.5,1.6697698655
9606.ENSP00000230354,0.0005200208,0.3451184494,4.0465809607501E+106
9606.ENSP00000310127,0.0009155832,0.3436752675,1.34733434530295E+106
9606.ENSP00000269305,0.0443631589,0.4119306108,2.3298143688854E+111
9606.ENSP00000309555,0.0085631533,0.3695379031,7.33754426056747E+109
9606.ENSP00000359531,0.018058984,0.365098188,3.17276060277919E+109
9606.ENSP00000355231,0.0067984389,0.3556461001,1.04029791484156E+109
9606.ENSP00000329967,0.0061322332,0.3652170372,8.14880941551833E+109
9606.ENSP00000360266,0.0254566102,0.3927960746,1.3816239325555E+110
10298.GB_HHV11,0.6,0.7142857143,4.4184704039
9606.ENSP00000313007,0.0214720119,0.3754251899,1.84482602459879E+110
9606.ENSP00000315768,0.0104483052,0.3597936792,2.61086453227126E+109
10298.GD_HHV11,0.6,0.7142857143,4.4184704039
10298.ICP27_HHV11,0.0011627907,0.3414053196,1.05342068077154E+104
10298.HEPA_HHV11,0.5,0.5714285714,4.5671853733
10298.HELI_HHV11,0.25,0.5,3.023073227
10298.TRM1_HHV11,1,1,3.492148788
10298.GH_HHV11,0.6,0.625,3.8293868934
10298.DPOL_HHV11,1,1,1.5430806348
10298.SHUT_HHV11,0.0097560976,0.3377265239,1.43469805430147E+025
10298.DNBI_HHV11,0.021978022,0.34082397,3.47723446932079E+044
10298.VP19_HHV11,1,1,1.5430806348
10298.VP16_HHV11,0.0016377334,0.3411554364,1.63996784959345E+104
10298.UL17_HHV11,1,1,1.5430806348
10298.ICP22_HHV11,0.0011337868,0.3343442002,1.15292193370741E+045
10298.GE_HHV11,0.1666666667,0.4285714286,1.6676889228
10298.PORTL_HHV11,0.6666666667,0.75,2.7829804022
10298.TEG5_HHV11,0.0048780488,0.3366174056,1.39874497726466E+025
10298.AN_HHV11,0.125,0.4210526316,1.7223164137
10298.LTP_HHV11,1,1,1.5430806348
10298.TEG4_HHV11,0.5,0.6666666667,1.5890917783
10298.GM_HHV11,0.6,0.625,3.8293868934
10298.TEG2_HHV11,0.5,0.6666666667,1.5890917783
10298.ICP4_HHV11,0.0018779343,0.3413461538,1.8658359125171E+071
